Ticker,Company,CIK,Rating Score,Net Income,Revenue,Total Assets,Total Liabilities
CRDO,Credo Technology Group Holding Ltd,0001807794,90,472279000.0,1335116000.0,2295619000.0,232007000.0
BSM,"Black Stone Minerals, L.P.",0001621434,90,271326000.0,469919000.0,1335554000.0,207098000.0
CLSK,"CLEANSPARK, INC.",0000827876,90,364464000.0,766314000.0,3183631000.0,1008504000.0
ARL,AMERICAN REALTY INVESTORS INC,0001102238,90,9782000.0,13011000.0,1097325000.0,277598000.0
OAK-PA,"Brookfield Oaktree Holdings, LLC",0001403528,90,249238000.0,143899000.0,6800312000.0,1464479000.0
CRM,"Salesforce, Inc.",0001108524,90,7457000000.0,2293988000.0,112305000000.0,53163000000.0
A,"AGILENT TECHNOLOGIES, INC.",0001090872,90,1303000000.0,4472000000.0,12727000000.0,5986000000.0
DHI,HORTON D R INC /DE/,0000882184,90,3585200000.0,34250400000.0,35471200000.0,10729000000.0
LRN,"Stride, Inc.",0001157408,90,338192000.0,238874000.0,2435552000.0,803223000.0
DBRG,"DigitalBridge Group, Inc.",0001679688,90,141874000.0,93959000.0,3419182000.0,968959000.0
GPOR,GULFPORT ENERGY CORP,0000874499,90,427810000.0,1422583000.0,3029540000.0,1194822000.0
SPSC,SPS COMMERCE INC,0001092699,90,93339000.0,58200000.0,1169859000.0,195966000.0
NTCT,NETSCOUT SYSTEMS INC,0001078075,90,95531000.0,229351000.0,2354517000.0,705257000.0
HLIO,"HELIOS TECHNOLOGIES, INC.",0001024795,90,48400000.0,200727000.0,1514500000.0,583000000.0
IVT,InvenTrust Properties Corp.,0001307748,90,111421000.0,299169000.0,2788647000.0,994385000.0
EHTH,"eHealth, Inc.",0001333493,90,40044000.0,134917000.0,1262468000.0,288816000.0
SNPS,SYNOPSYS INC,0000883241,90,1332220000.0,5081542000.0,48224461000.0,19897446000.0
WDAY,"Workday, Inc.",0001327811,90,693000000.0,582480000.0,18074000000.0,10269000000.0
LPG,DORIAN LPG LTD.,0001596993,90,193665933.0,153270708.0,1871692717.0,732696339.0
PURR,Hyperliquid Strategies Inc,0002078856,90,305542000.0,9460000.0,2060008000.0,187137000.0
ALAB,"Astera Labs, Inc.",0001736297,90,219134000.0,852525000.0,1531823000.0,168189000.0
LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",0000202058,90,1606000000.0,6182000000.0,41195000000.0,21560000000.0
STRA,"Strategic Education, Inc.",0001013934,90,126614000.0,263772000.0,2038540000.0,392134000.0
CURB,Curbline Properties Corp.,0002027317,90,39881000.0,182893000.0,2469790000.0,556320000.0
AGO,ASSURED GUARANTY LTD,0001273813,90,503000000.0,1110000000.0,12176000000.0,6387000000.0
IIPR,INNOVATIVE INDUSTRIAL PROPERTIES INC,0001677576,90,118247000.0,265955000.0,2370858000.0,522854000.0
PLAB,PHOTRONICS INC,0000810136,90,136405000.0,144660000.0,1804534000.0,207227000.0
WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,0000943452,90,1170000000.0,2391122000.0,22069000000.0,10879000000.0
AZTA,"Azenta, Inc.",0000933974,90,50877000.0,159192000.0,2059582000.0,332596000.0
EW,Edwards Lifesciences Corp,0001099800,90,1073500000.0,6067600000.0,13697200000.0,3359600000.0
SMPL,Simply Good Foods Co,0001702744,90,103614000.0,222286000.0,2396045000.0,589212000.0
PSA,Public Storage,0001393311,90,1784348000.0,4824113000.0,20208604000.0,10866770000.0
FANG,"Diamondback Energy, Inc.",0001539838,90,1664000000.0,15026000000.0,71059000000.0,28092000000.0
FPH,"Five Point Holdings, LLC",0001574197,90,70966000.0,110020000.0,3249003000.0,860407000.0
TCI,TRANSCONTINENTAL REALTY INVESTORS INC,0000733590,90,8292000.0,12057000.0,1132520000.0,266359000.0
DLR,"DIGITAL REALTY TRUST, INC.",0001297996,90,1308589000.0,6112692000.0,49410468000.0,24564494000.0
MPWR,"MONOLITHIC POWER SYSTEMS, INC.",0001280452,90,621483000.0,333067000.0,4194199000.0,662702000.0
NFLX,NETFLIX INC,0001065280,90,10981201000.0,45183036000.0,55596993000.0,28981505000.0
AVGO,Broadcom Inc.,0001730168,90,5895000000.0,5444000000.0,171092000000.0,89800000000.0
JNJ,JOHNSON & JOHNSON,0000200406,90,26804000000.0,94193000000.0,199210000000.0,117666000000.0
AME,AMETEK INC/,0001037868,90,1480142000.0,7401116000.0,16067543000.0,5438757000.0
STE,STERIS plc,0001757898,90,782300000.0,5935900000.0,10737200000.0,3540000000.0
TW,Tradeweb Markets Inc.,0001758730,90,812792000.0,233076000.0,8189557000.0,1000320000.0
RGLD,ROYAL GOLD INC,0000085535,90,466281000.0,1030471000.0,9537524000.0,2332177000.0
UTHR,UNITED THERAPEUTICS Corp,0001082554,90,1334700000.0,1483300000.0,7880000000.0,783800000.0
EXE,EXPAND ENERGY Corp,0000895126,90,1819000000.0,12124000000.0,28287000000.0,9709000000.0
PLTR,Palantir Technologies Inc.,0001321655,90,1625033000.0,4475446000.0,8900392000.0,1412381000.0
KIM-PM,KIMCO REALTY CORP,0000879101,90,584741000.0,2140116000.0,19688250000.0,9120372000.0
KIM-PL,KIMCO REALTY CORP,0000879101,90,584741000.0,2140116000.0,19688250000.0,9120372000.0
KIM-PN,KIMCO REALTY CORP,0000879101,90,584741000.0,2140116000.0,19688250000.0,9120372000.0
ADC-PA,AGREE REALTY CORP,0000917251,90,204349000.0,718398000.0,9797612000.0,3526459000.0
CLSKW,"CLEANSPARK, INC.",0000827876,90,364464000.0,766314000.0,3183631000.0,1008504000.0
VNO-PO,VORNADO REALTY TRUST,0000899689,90,904955000.0,1810425000.0,15521118000.0,8716595000.0
VNO-PN,VORNADO REALTY TRUST,0000899689,90,904955000.0,1810425000.0,15521118000.0,8716595000.0
REGCP,REGENCY CENTERS CORP,0000910606,90,527460000.0,1553524000.0,13001283000.0,5819677000.0
REGCO,REGENCY CENTERS CORP,0000910606,90,527460000.0,1553524000.0,13001283000.0,5819677000.0
NEMCL,NEWMONT Corp /DE/,0001164727,90,7085000000.0,6711000000.0,57121000000.0,23079000000.0
BRK-B,BERKSHIRE HATHAWAY INC,0001067983,80,66968000000.0,371444000000.0,1222176000000.0,502473000000.0
NOVTU,NOVANTA INC,0001076930,80,53829000.0,521290000.0,1807106000.0,492819000.0
MGR,"AFFILIATED MANAGERS GROUP, INC.",0001004434,80,716600000.0,2074400000.0,9207400000.0,4785300000.0
MGRB,"AFFILIATED MANAGERS GROUP, INC.",0001004434,80,716600000.0,2074400000.0,9207400000.0,4785300000.0
MGRD,"AFFILIATED MANAGERS GROUP, INC.",0001004434,80,716600000.0,2074400000.0,9207400000.0,4785300000.0
NEE-PN,NEXTERA ENERGY INC,0000753308,80,6835000000.0,3375000000.0,212721000000.0,146242000000.0
NEE-PS,NEXTERA ENERGY INC,0000753308,80,6835000000.0,3375000000.0,212721000000.0,146242000000.0
VAL-WT,Valaris Ltd,0000314808,80,982800000.0,2369000000.0,5304800000.0,2133100000.0
ALL-PI,ALLSTATE CORP,0000899051,80,10282000000.0,17345000000.0,119758000000.0,89169000000.0
ALL-PB,ALLSTATE CORP,0000899051,80,10282000000.0,17345000000.0,119758000000.0,89169000000.0
ALL-PJ,ALLSTATE CORP,0000899051,80,10282000000.0,17345000000.0,119758000000.0,89169000000.0
SOFI,"SoFi Technologies, Inc.",0001818874,80,481320000.0,619353000.0,50660478000.0,40170983000.0
PTC,PTC INC.,0000857005,80,733997000.0,2739226000.0,6617172000.0,2790943000.0
NVR,NVR INC,0000906163,80,1339816000.0,10323959000.0,5856930000.0,1992061000.0
HST,"HOST HOTELS & RESORTS, INC.",0001070750,80,765000000.0,5387000000.0,13049000000.0,6317000000.0
WCC,WESCO INTERNATIONAL INC,0000929008,80,640200000.0,2099452000.0,16494900000.0,11468500000.0
RBC,RBC Bearings INC,0001324948,80,287600000.0,1870900000.0,5122700000.0,1761700000.0
JBHT,HUNT J B TRANSPORT SERVICES INC,0000728535,80,598282000.0,1990160000.0,7927155000.0,4362070000.0
WST,WEST PHARMACEUTICAL SERVICES INC,0000105770,80,493700000.0,2886900000.0,4270000000.0,1094000000.0
BLK,"BlackRock, Inc.",0002012383,80,5553000000.0,12794000000.0,169998000000.0,108456000000.0
GME-WT,GameStop Corp.,0001326380,80,418400000.0,3629900000.0,10388400000.0,4944000000.0
PBYI,"PUMA BIOTECHNOLOGY, INC.",0001401667,80,31111000.0,21608000.0,216302000.0,85962000.0
MASS,908 Devices Inc.,0001555279,80,19489000.0,56197000.0,190071000.0,46372000.0
FPI,Farmland Partners Inc.,0001591670,80,31545000.0,52178000.0,719065000.0,181095000.0
ACTG,ACACIA RESEARCH CORP,0000934549,80,21682000.0,12004000.0,770956000.0,186924000.0
IMXI,"International Money Express, Inc.",0001683695,80,32671000.0,83243000.0,517691000.0,10132259.0
SBC,SBC Medical Group Holdings Inc,0001930313,80,50985613.0,173607489.0,380447946.0,117143240.0
VALU,VALUE LINE INC,0000717720,80,21630000.0,36257000.0,151916000.0,44026000.0
ABEO,ABEONA THERAPEUTICS INC.,0000318306,80,71183000.0,2998000.0,219570000.0,60354000.0
MPTI,"M-tron Industries, Inc.",0001902314,80,3425000.0,14233000.0,68383000.0,5168000.0
NLCP,"NewLake Capital Partners, Inc.",0001854964,80,26318000.0,51071000.0,420829000.0,26141000.0
PNRG,PRIMEENERGY RESOURCES CORP,0000056868,80,48664000.0,189052000.0,323895000.0,108210000.0
ELMD,"Electromed, Inc.",0001488917,80,11301000.0,54716000.0,66267000.0,12288000.0
ELTP,ELITE PHARMACEUTICALS INC /NV/,0001053369,80,44872686.0,25380749.0,138289840.0,39406865.0
PDYN,Palladyne AI Corp.,0001826681,80,10039000.0,5246000.0,95712000.0,21037000.0
GENC,GENCOR INDUSTRIES INC,0000064472,80,15661000.0,48943000.0,222596000.0,10794000.0
PCYO,PURE CYCLE CORP,0000276720,80,13110000.0,658.0,162279000.0,19541000.0
PKE,PARK AEROSPACE CORP,0000076267,80,11272000.0,13530000.0,142228000.0,12278000.0
LEGH,Legacy Housing Corp,0001436208,80,41809000.0,164567000.0,580337000.0,51723000.0
GYRE,"GYRE THERAPEUTICS, INC.",0001124105,80,9880000.0,127000.0,166132000.0,23850000.0
ETD,ETHAN ALLEN INTERIORS INC,0000896156,80,63816000.0,91568000.0,737099000.0,254830000.0
OSPN,OneSpan Inc.,0001044777,80,72904000.0,243180000.0,397702000.0,125859000.0
SD,SANDRIDGE ENERGY INC,0001349436,80,70203000.0,59852000.0,644021000.0,133150000.0
NVEC,NVE CORP /NEW/,0000724910,80,15199195.0,26331218.0,60379532.0,2130033.0
CRH,CRH PUBLIC LTD CO,0000849395,80,3753000000.0,37447000000.0,58329000000.0,32851000000.0
ALL,ALLSTATE CORP,0000899051,80,10282000000.0,17345000000.0,119758000000.0,89169000000.0
LNG,"Cheniere Energy, Inc.",0000003570,80,5330000000.0,19976000000.0,47882000000.0,34804000000.0
TEL,TE Connectivity plc,0001385157,80,1842000000.0,17262000000.0,25081000000.0,12351000000.0
AFL,AFLAC INC,0000004977,80,3646000000.0,17164000000.0,116470000000.0,86980000000.0
MPLX,MPLX LP,0001552000,80,3928000000.0,12998000000.0,43005000000.0,28477000000.0
SRTA,"Strata Critical Medical, Inc.",0001779128,80,41347000.0,197141000.0,325472000.0,46400000.0
IDR,"Idaho Strategic Resources, Inc.",0001030192,80,16715674.0,42406253.0,116238730.0,5396782.0
QTTB,Q32 Bio Inc.,0001661998,80,29821000.0,53737000.0,61776000.0,19762000.0
ACFN,"ACORN ENERGY, INC.",0000880984,80,2510000.0,4350000.0,13334000.0,5018000.0
QDMI,QDM International Inc.,0001094032,80,7533321.0,21475746.0,17443441.0,1068822.0
TRS,TRIMAS CORP,0000842633,80,81700000.0,155490000.0,1485080000.0,779490000.0
NSSC,"NAPCO SECURITY TECHNOLOGIES, INC",0000069633,80,43027000.0,202316000.0,238668000.0,47666000.0
MUX,McEwen Inc.,0000314203,80,38126000.0,64623000.0,820218000.0,273981000.0
IRMD,IRADIMED CORP,0001325618,80,22480000.0,83814000.0,108776000.0,14158000.0
MALG,MICROALLIANCE GROUP INC.,0001309251,80,18675547.0,37393802.0,30992313.0,2746306.0
EVER,"EverQuote, Inc.",0001640428,80,99311000.0,97292000.0,326913000.0,88873000.0
KOPN,KOPIN CORP,0000771266,80,2606549.0,1530311.0,108394257.0,36720613.0
RIGL,RIGEL PHARMACEUTICALS INC,0001034842,80,367024000.0,294282000.0,513594000.0,122114000.0
CYRX,"Cryoport, Inc.",0001124524,80,78301000.0,176177000.0,764989000.0,262351000.0
DJCO,DAILY JOURNAL CORP,0000783412,80,112137000.0,10914000.0,548118000.0,157057000.0
O,REALTY INCOME CORP,0000726728,80,1058590000.0,5749377000.0,72795612000.0,32671644000.0
NDAQ,"NASDAQ, INC.",0001120193,80,1788000000.0,4277000000.0,31053000000.0,18821000000.0
NUE,NUCOR CORP,0000073309,80,1744000000.0,25067279000.0,35104000000.0,12980000000.0
REPX,"Riley Exploration Permian, Inc.",0001001614,80,160840000.0,747000.0,1169578000.0,535336000.0
AMSC,AMERICAN SUPERCONDUCTOR CORP /DE/,0000880807,80,133809000.0,900000.0,739481000.0,184034000.0
TER,"TERADYNE, INC",0000097210,80,554047000.0,3190024000.0,4183599000.0,1387847000.0
KMI,"KINDER MORGAN, INC.",0001506307,80,3056000000.0,16937000000.0,72748000000.0,40299000000.0
AJG,Arthur J. Gallagher & Co.,0000354190,80,1494000000.0,1721400000.0,70665000000.0,47318000000.0
SITC,SITE Centers Corp.,0000894315,80,177861000.0,123649000.0,418737000.0,83972000.0
TRAK,"ReposiTrak, Inc.",0000050471,80,6978127.0,21007076.0,55329047.0,5809866.0
BNC,CEA Industries Inc.,0001482541,80,115245000.0,9581968.0,337846000.0,33070000.0
AXR,AMREP CORP.,0000006207,80,10288000.0,12831000.0,144778000.0,4035000.0
BUDA,"BUDA JUICE, INC.",0002079720,80,3533000.0,12609000.0,4970000.0,1232000.0
RSKIA,"GEORGE RISK INDUSTRIES, INC.",0000084112,80,11388000.0,3957000.0,71372000.0,8017000.0
FATN,Fatpipe Inc/UT,0001993400,80,4969961.0,19208294.0,34523087.0,9307457.0
BYRN,Byrna Technologies Inc.,0001354866,80,9687000.0,16566295.0,84488000.0,18731000.0
AFCG,Advanced Flower Capital Inc.,0001822523,80,20951999.0,24563601.0,275594747.0,100026760.0
OPXS,Optex Systems Holdings Inc,0001397016,80,5147000.0,24530000.0,30056000.0,5765000.0
EUBG,ENTREPRENEUR UNIVERSE BRIGHT GROUP,0001171326,80,1905145.0,5682985.0,12233330.0,1792734.0
IDN,"Intellicheck, Inc.",0001040896,80,1273000.0,1330000.0,24481000.0,3784000.0
LTC,LTC PROPERTIES INC,0000887905,80,117972000.0,262854000.0,2062060000.0,899676000.0
AUPH,Aurinia Pharmaceuticals Inc.,0001600620,80,210794000.0,77114000.0,751587000.0,170256000.0
ADMA,"ADMA BIOLOGICS, INC.",0001368514,80,146930000.0,42219783.0,624242000.0,146922000.0
EZPW,EZCORP INC,0000876523,80,109613000.0,182069000.0,1951209000.0,925724000.0
RUN,Sunrun Inc.,0001469367,80,449947000.0,243937000.0,22610596000.0,17626622000.0
GTY,GETTY REALTY CORP /MD/,0001052752,80,79192000.0,221727000.0,2173368000.0,1101239000.0
INOD,INNODATA INC,0000903651,80,32181000.0,86775000.0,168593000.0,61531000.0
INVX,"Innovex International, Inc.",0001042893,80,83298000.0,424060000.0,1268307000.0,210608000.0
KEYS,"Keysight Technologies, Inc.",0001601046,80,850000000.0,5375000000.0,11301000000.0,5420000000.0
COIN,"Coinbase Global, Inc.",0001679788,80,1260327000.0,7181325000.0,29671832000.0,14878774000.0
LMAT,LEMAITRE VASCULAR INC,0001158895,80,57734000.0,249602000.0,615690000.0,222174000.0
TGLS,Tecnoglass Holdings Inc.,0001534675,80,159566000.0,97863000.0,1260392000.0,547340000.0
INSP,"Inspire Medical Systems, Inc.",0001609550,80,145422000.0,26906000.0,907317000.0,126157000.0
CSWC,CAPITAL SOUTHWEST CORP,0000017313,80,27479000.0,10835000.0,2177518000.0,1166526000.0
XZO,"Exzeo Group, Inc.",0001873951,80,82749000.0,216980000.0,347734000.0,93578000.0
ICFI,"ICF International, Inc.",0001362004,80,91588000.0,321174000.0,2050171000.0,1021689000.0
HCI,"HCI Group, Inc.",0001400810,80,299005000.0,246243000.0,2528928000.0,1414284000.0
SLB,SLB LIMITED/NV,0000087347,80,3374000000.0,30440000000.0,54868000000.0,27577000000.0
LOAN,"MANHATTAN BRIDGE CAPITAL, INC",0001080340,80,5110977.0,8666307.0,62350731.0,19251187.0
IDXG,"INTERPACE BIOSCIENCES, INC.",0001054102,80,24575000.0,5678000.0,33838000.0,11475000.0
RSRV,RESERVE PETROLEUM CO,0000083350,80,4864269.0,16170884.0,41608523.0,7609157.0
ETST,"Earth Science Tech, Inc.",0001538495,80,3630776.0,80279.0,8969337.0,1928573.0
CKX,"CKX LANDS, INC.",0000352955,80,3009972.0,838543.0,22285768.0,840356.0
MSGM,Motorsport Games Inc.,0001821175,80,6928067.0,741000.0,11968066.0,4386835.0
NEON,Neonode Inc.,0000087050,80,8493000.0,3108000.0,26885000.0,2196000.0
OTLC,"Oncotelic Therapeutics, Inc.",0000908259,80,249279832.0,70000.0,393088242.0,131356683.0
PFHO,PACIFIC HEALTH CARE ORGANIZATION INC,0001138476,80,1387647.0,6715175.0,13463446.0,745600.0
DFNS,T3 Defense Inc.,0001787518,80,78549000.0,5913461.0,202386000.0,45186000.0
NXTT,Next Technology Holding Inc.,0001784970,80,143164948.0,11614772.0,524131414.0,68552005.0
PAYX,PAYCHEX INC,0000723531,80,1760100000.0,6512000000.0,16174500000.0,12439400000.0
MCRI,MONARCH CASINO & RESORT INC,0000907242,80,101392000.0,395377000.0,712849000.0,175179000.0
HRMY,"Harmony Biosciences Holdings, Inc.",0001802665,80,158687000.0,868453000.0,1271631000.0,401413000.0
NIHK,"Video River Networks, Inc.",0001084475,80,1462828.0,1628136.0,1552732.0,91899.0
KUBR,Kuber Resources Corp,0001081834,80,1217956.0,2249288.0,5711371.0,1537393.0
YYAI,AIRWA INC.,0001674440,80,3491287.0,15000000.0,32905794.0,6487171.0
FXC,Invesco CurrencyShares Canadian Dollar Trust,0001353612,80,387150.0,713801.0,74931453.0,60372.0
FXB,Invesco CurrencyShares British Pound Sterling Trust,0001353611,80,1862108.0,2169345.0,84332823.0,6675755.0
FXE,Invesco CurrencyShares Euro Trust,0001328598,80,3435396.0,5084664.0,428832588.0,5975329.0
GSG,iShares S&P GSCI Commodity-Indexed Trust,0001332174,80,56966505.0,42543734.0,798917906.0,11798140.0
FXA,Invesco CurrencyShares Australian Dollar Trust,0001353614,80,878882.0,1184327.0,89294509.0,3419615.0
IDXX,IDEXX LABORATORIES INC /DE,0000874716,80,1059464000.0,4303702000.0,3350759000.0,1745376000.0
APAM,Artisan Partners Asset Management Inc.,0001517302,80,290320000.0,1196688000.0,1577292000.0,794873000.0
MMS,"MAXIMUS, INC.",0001032220,80,319034000.0,558446000.0,4069639000.0,2395604000.0
ADEA,Adeia Inc.,0001803696,80,111075000.0,443386000.0,1039303000.0,558762000.0
FCPT,"Four Corners Property Trust, Inc.",0001650132,80,112364000.0,294132000.0,2920726000.0,1290887000.0
BKV,BKV Corp,0001838406,80,173132000.0,893781000.0,3129707000.0,1069385000.0
CALX,"CALIX, INC",0001406666,80,17884000.0,137899000.0,1058522000.0,199303000.0
RAMP,"LiveRamp Holdings, Inc.",0000733269,80,145952000.0,812940000.0,1294177000.0,142079000.0
FRPT,"Freshpet, Inc.",0001611647,80,139137000.0,1102015000.0,1777775000.0,569116000.0
KDP,Keurig Dr Pepper Inc.,0001418135,80,2079000000.0,16603000000.0,55459000000.0,29943000000.0
ROP,ROPER TECHNOLOGIES INC,0000882835,80,1536300000.0,7902500000.0,34577000000.0,14695500000.0
NHI,NATIONAL HEALTH INVESTORS INC,0000877860,80,142177000.0,375628000.0,2796887000.0,1256983000.0
LXP,LXP Industrial Trust,0000910108,80,113160000.0,350228000.0,3537022000.0,1488644000.0
ARLP,ALLIANCE RESOURCE PARTNERS LP,0001086600,80,311163000.0,2002857000.0,2853788000.0,993566000.0
GPK,GRAPHIC PACKAGING HOLDING CO,0001408075,80,444000000.0,8617000000.0,11775000000.0,10800000.0
USLM,UNITED STATES LIME & MINERALS INC,0000082020,80,134275000.0,34634000.0,681044000.0,50284000.0
VCYT,"VERACYTE, INC.",0001384101,80,66353000.0,517145000.0,1406019000.0,96443000.0
TMDX,"TransMedics Group, Inc.",0001756262,80,190291000.0,605494000.0,1068373000.0,595273000.0
GRBK,"Green Brick Partners, Inc.",0001373670,80,313225000.0,2098471000.0,2534767000.0,601782000.0
